water_year,year,site_id,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile,date,water_day,swe,wy_n,text_peak,text_sm50,text_today,text_ptile,elev_ft,latitude,longitude,site_name,sntl_id,d_swe,id,apr1_x,apr1_y,apr1_met,peak_x,peak_y,sm50_x,sm50_y
2021,2021,1113,8.4,4.2,2021-03-06,157,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,6.1,1,NA,TBD,6.1,no data,6332,41.89,-111.57,Tony Grove RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1114,12.4,6.2,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.4,1,NA,TBD,12.4,no data,7705,41.92,-111.47,Garden City Summit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1115,14.8,7.4,2021-03-15,166,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,14.3,1,NA,TBD,14.3,no data,7250,41.97,-111.6,Klondike Narrows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1116,5.2,2.6,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,5.2,1,NA,TBD,5.2,no data,8464,40.55,-110.35,Lakefork #3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1117,12.4,6.2,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,12.4,1,NA,TBD,12.4,no data,10235,40.84,-110.01,Spirit Lk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1118,4.9,2.45,2021-03-03,154,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0,NA,NA,TBD,0,no data,6082,41.22,-111.36,Lost Creek Resv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1119,26.9,13.45,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,26.9,1,NA,TBD,26.9,no data,9820,41.06,-106.71,Blackhall Mtn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1120,17.8,8.9,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,17.8,1,NA,TBD,17.8,no data,10520,39.86,-106.42,Elliot Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1121,2.6,1.3,2021-02-02,125,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0.1,2,NA,TBD,0.1,no data,7350,35.27,-111.74,Fort Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1122,11.9,5.95,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,11.9,2,NA,TBD,11.9,no data,9380,40.58,-105.63,Hourglass Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1124,7.4,3.7,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.4,2,NA,TBD,7.4,no data,11140,37.97,-106.56,Moon Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1125,7.6,3.8,2021-03-19,170,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.3,2,NA,TBD,7.3,no data,8500,34.97,-111.51,Mormon Mtn Summit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1126,33.9,16.95,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,33.9,NA,NA,TBD,33.9,no data,3384,47.46,-123.41,Mt. Tebo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1127,0.9,0.45,2021-02-20,143,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,0,2,NA,TBD,0,no data,8500,33.9,-109.16,Nutrioso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1128,11.5,5.75,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,11.5,2,NA,TBD,11.5,no data,11530,38.29,-106.37,Sargents Mesa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1129,13.8,6.9,2021-03-12,163,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,11.8,2,NA,TBD,11.8,no data,5360,45.99,-120.81,Indian Rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1130,5.4,2.7,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,5.4,NA,NA,TBD,5.4,no data,8400,43.67,-109.38,Castle Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1131,10.9,5.45,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,10.9,NA,NA,TBD,10.9,no data,8870,44.54,-107.18,Little Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1132,6.4,3.2,2021-03-22,173,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,6.4,NA,NA,TBD,6.4,no data,8720,44.35,-107.01,Soldier Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1133,8,4,2021-03-01,152,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,NA,1,NA,TBD,no data,no data,9360,42.71,-109.41,Pocket Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2021,1134,7.9,3.95,2021-03-20,171,NA,173,2021-03-22,TBD,NA,NA,2021-03-22,173,7.8,NA,NA,TBD,7.8,no data,9000,42.58,-109.09,Larsen Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
